date,session_key,driver_number,meeting_key,lap_number,pit_duration,lane_duration,stop_duration
2025-04-06T05:18:42.712000+00:00,10006,18,1256,9,23.724,23.724,2.6
2025-04-06T05:28:10.894000+00:00,10006,7,1256,15,23.382,23.382,2.5
2025-04-06T05:33:59.151000+00:00,10006,63,1256,19,23.184,23.184,2.3
2025-04-06T05:35:38.006000+00:00,10006,81,1256,20,23.037,23.037,2.1
2025-04-06T05:36:57.801000+00:00,10006,1,1256,21,24.397,24.397,3.3
2025-04-06T05:36:57.957000+00:00,10006,4,1256,21,23.222,23.222,2.3
2025-04-06T05:37:04.066000+00:00,10006,16,1256,21,23.346,23.346,2.4
2025-04-06T05:39:09.192000+00:00,10006,27,1256,22,23.515,23.515,2.6
2025-04-06T05:40:33.084000+00:00,10006,87,1256,23,24.834,24.834,3.9
2025-04-06T05:40:38.849000+00:00,10006,22,1256,23,24.181,24.181,2.9
2025-04-06T05:41:59.678000+00:00,10006,23,1256,24,23.093,23.093,2.6
2025-04-06T05:42:11.438000+00:00,10006,14,1256,24,25.708,25.708,4.7
2025-04-06T05:42:14.929000+00:00,10006,10,1256,24,26.041,26.041,4.8
2025-04-06T05:43:29.773000+00:00,10006,6,1256,25,23.333,23.333,2.4
2025-04-06T05:51:11.930000+00:00,10006,44,1256,30,22.937,22.937,2.2
2025-04-06T05:52:06.619000+00:00,10006,18,1256,30,23.608,23.608,2.7
2025-04-06T05:52:41.258000+00:00,10006,12,1256,31,24.38,24.38,3.1
2025-04-06T05:53:22.493000+00:00,10006,5,1256,31,23.419,23.419,2.6
2025-04-06T05:54:54.863000+00:00,10006,31,1256,32,24.464,24.464,3.5
2025-04-06T05:56:25.345000+00:00,10006,30,1256,33,23.662,23.662,2.9
2025-04-06T05:56:27.204000+00:00,10006,55,1256,33,23.337,23.337,2.6
