meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1256,10006,1,12,1,31,MEDIUM,0
1256,10006,1,63,1,19,MEDIUM,0
1256,10006,1,7,1,15,SOFT,0
1256,10006,1,18,1,9,SOFT,0
1256,10006,1,14,1,24,MEDIUM,1
1256,10006,1,23,1,24,MEDIUM,0
1256,10006,1,4,1,21,MEDIUM,0
1256,10006,1,55,1,33,MEDIUM,0
1256,10006,1,44,1,30,HARD,0
1256,10006,1,10,1,24,MEDIUM,0
1256,10006,1,30,1,33,MEDIUM,0
1256,10006,1,81,1,20,MEDIUM,0
1256,10006,1,5,1,31,HARD,0
1256,10006,1,31,1,32,HARD,1
1256,10006,1,6,1,25,MEDIUM,0
1256,10006,1,1,1,21,MEDIUM,0
1256,10006,1,16,1,21,MEDIUM,0
1256,10006,1,87,1,23,MEDIUM,0
1256,10006,1,27,1,22,MEDIUM,0
1256,10006,1,22,1,23,MEDIUM,0
1256,10006,2,18,10,30,HARD,1
1256,10006,2,7,16,53,HARD,0
1256,10006,2,63,20,53,HARD,0
1256,10006,2,81,21,53,HARD,0
1256,10006,2,1,22,53,HARD,0
1256,10006,2,4,22,53,HARD,0
1256,10006,2,16,22,53,HARD,0
1256,10006,2,27,23,53,HARD,0
1256,10006,2,87,24,53,HARD,1
1256,10006,2,22,24,53,HARD,0
1256,10006,2,23,25,53,HARD,0
1256,10006,2,14,25,53,HARD,1
1256,10006,2,10,25,53,HARD,0
1256,10006,2,6,26,53,HARD,0
1256,10006,2,44,31,53,MEDIUM,0
1256,10006,3,18,31,52,MEDIUM,0
1256,10006,2,12,32,53,HARD,0
1256,10006,2,5,32,53,MEDIUM,0
1256,10006,2,31,33,53,MEDIUM,0
1256,10006,2,55,34,53,SOFT,0
1256,10006,2,30,34,53,SOFT,0
