meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1273,9869,1,63,1,34,MEDIUM,4
1273,9869,1,22,1,2,HARD,0
1273,9869,1,55,1,17,SOFT,0
1273,9869,1,10,1,18,SOFT,3
1273,9869,1,1,1,7,HARD,0
1273,9869,1,43,1,29,MEDIUM,0
1273,9869,1,12,1,21,SOFT,3
1273,9869,1,27,1,36,MEDIUM,0
1273,9869,1,31,1,8,HARD,0
1273,9869,1,16,1,5,MEDIUM,0
1273,9869,1,87,1,17,SOFT,2
1273,9869,1,18,1,29,HARD,0
1273,9869,1,4,1,30,MEDIUM,0
1273,9869,1,44,1,2,SOFT,0
1273,9869,1,6,1,18,SOFT,3
1273,9869,1,30,1,19,SOFT,3
1273,9869,1,81,1,38,MEDIUM,0
1273,9869,1,23,1,35,MEDIUM,6
1273,9869,1,14,1,28,HARD,0
1273,9869,1,5,1,1,SOFT,0
1273,9869,2,22,3,24,MEDIUM,0
1273,9869,2,44,3,14,HARD,0
1273,9869,2,1,8,34,MEDIUM,0
1273,9869,2,31,9,47,MEDIUM,0
1273,9869,3,44,15,32,MEDIUM,0
1273,9869,2,87,18,42,MEDIUM,0
1273,9869,2,55,18,38,MEDIUM,0
1273,9869,2,6,19,37,MEDIUM,6
1273,9869,2,10,19,39,MEDIUM,0
1273,9869,2,30,20,71,MEDIUM,0
1273,9869,2,12,22,47,MEDIUM,0
1273,9869,3,22,25,47,MEDIUM,0
1273,9869,2,14,29,46,MEDIUM,6
1273,9869,2,18,30,54,MEDIUM,0
1273,9869,2,43,30,43,SOFT,0
1273,9869,2,4,31,50,SOFT,3
1273,9869,4,44,33,37,MEDIUM,0
1273,9869,2,63,35,48,SOFT,1
1273,9869,3,1,35,54,MEDIUM,0
1273,9869,2,23,36,55,SOFT,2
1273,9869,2,27,37,71,SOFT,0
1273,9869,3,6,38,71,MEDIUM,0
1273,9869,2,81,39,51,SOFT,2
1273,9869,3,55,39,71,MEDIUM,0
1273,9869,3,10,40,71,MEDIUM,6
1273,9869,3,87,43,71,MEDIUM,0
1273,9869,3,43,44,71,MEDIUM,0
1273,9869,3,14,47,71,MEDIUM,0
1273,9869,3,12,48,71,MEDIUM,5
1273,9869,3,31,48,71,MEDIUM,0
1273,9869,4,22,48,71,MEDIUM,0
1273,9869,3,63,49,71,MEDIUM,3
1273,9869,3,4,51,71,MEDIUM,9
1273,9869,3,81,52,71,MEDIUM,0
1273,9869,4,1,55,71,SOFT,0
1273,9869,3,18,55,71,MEDIUM,0
1273,9869,3,23,56,71,MEDIUM,0
