date,session_key,pit_duration,stop_duration,meeting_key,lap_number,driver_number,lane_duration
2025-04-20T17:06:43.644000+00:00,10022,20.571,2.5,1258,1,7,20.571
2025-04-20T17:06:45.644000+00:00,10022,21.512,3.1,1258,1,31,21.512
2025-04-20T17:06:46.504000+00:00,10022,21.854,3.4,1258,1,5,21.854
2025-04-20T17:36:05.973000+00:00,10022,22.095,4.2,1258,18,87,22.095
2025-04-20T17:37:06.014000+00:00,10022,21.388,3.4,1258,19,81,21.388
2025-04-20T17:37:20.145000+00:00,10022,20.399,2.3,1258,19,12,20.399
2025-04-20T17:37:38.585000+00:00,10022,21.891,3.9,1258,19,14,21.891
2025-04-20T17:38:45.260000+00:00,10022,20.329,2.4,1258,20,63,20.329
2025-04-20T17:39:10.227000+00:00,10022,20.534,2.5,1258,20,30,20.534
2025-04-20T17:40:15.987000+00:00,10022,26.03,8.3,1258,21,1,26.03
2025-04-20T17:40:41.796000+00:00,10022,24.148,6.4,1258,21,55,24.148
2025-04-20T17:42:19.024000+00:00,10022,22.135,5.0,1258,22,23,22.135
2025-04-20T17:43:43.458000+00:00,10022,20.144,2.1,1258,23,44,20.144
2025-04-20T17:52:49.740000+00:00,10022,20.131,2.0,1258,29,16,20.131
2025-04-20T17:58:38.095000+00:00,10022,21.521,3.6,1258,32,7,21.521
2025-04-20T18:00:03.353000+00:00,10022,20.441,2.3,1258,33,27,20.441
2025-04-20T18:00:38.881000+00:00,10022,20.427,2.6,1258,34,4,20.427
2025-04-20T18:01:14.102000+00:00,10022,20.827,3.1,1258,34,6,20.827
2025-04-20T18:09:33.789000+00:00,10022,20.487,2.5,1258,39,18,20.487
