meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1264,9955,1,12,1,1,MEDIUM,0
1264,9955,1,55,1,1,MEDIUM,0
1264,9955,1,1,1,1,MEDIUM,0
1264,9955,1,6,1,2,SOFT,0
1264,9955,1,87,1,11,SOFT,0
1264,9955,1,10,1,12,SOFT,3
1264,9955,1,27,1,12,SOFT,0
1264,9955,1,23,1,13,MEDIUM,0
1264,9955,1,43,1,13,SOFT,0
1264,9955,2,23,14,15,MEDIUM,0
1264,9955,1,63,1,18,MEDIUM,0
1264,9955,1,22,1,18,MEDIUM,0
1264,9955,1,31,1,19,MEDIUM,0
1264,9955,1,4,1,20,MEDIUM,0
1264,9955,1,5,1,21,MEDIUM,0
1264,9955,1,81,1,24,MEDIUM,0
1264,9955,1,16,1,25,MEDIUM,0
1264,9955,1,44,1,26,MEDIUM,0
1264,9955,1,18,1,26,MEDIUM,1
1264,9955,2,6,3,28,MEDIUM,0
1264,9955,2,22,19,30,HARD,0
1264,9955,1,30,1,32,MEDIUM,0
1264,9955,1,14,1,33,MEDIUM,1
1264,9955,2,10,13,38,HARD,0
1264,9955,2,87,12,39,HARD,0
1264,9955,2,43,14,39,MEDIUM,0
1264,9955,2,27,13,42,MEDIUM,0
1264,9955,2,63,19,45,MEDIUM,0
1264,9955,2,16,26,49,HARD,0
1264,9955,2,5,22,49,MEDIUM,0
1264,9955,2,44,27,50,HARD,0
1264,9955,2,31,20,50,HARD,0
1264,9955,2,4,21,52,HARD,0
1264,9955,2,81,25,53,HARD,0
1264,9955,2,18,27,53,HARD,1
1264,9955,3,22,31,60,MEDIUM,0
1264,9955,3,4,53,70,MEDIUM,0
1264,9955,2,14,34,69,HARD,1
1264,9955,3,5,50,69,HARD,0
1264,9955,3,81,54,70,MEDIUM,0
1264,9955,4,22,61,68,SOFT,0
1264,9955,3,27,43,69,MEDIUM,0
1264,9955,3,31,51,69,HARD,0
1264,9955,3,16,50,70,MEDIUM,0
1264,9955,3,87,40,69,MEDIUM,0
1264,9955,3,6,29,69,HARD,0
1264,9955,3,44,51,70,MEDIUM,0
1264,9955,3,10,39,69,MEDIUM,0
1264,9955,3,18,54,69,SOFT,0
1264,9955,3,43,40,69,HARD,0
1264,9955,3,63,46,70,HARD,0
1264,9955,2,30,33,70,HARD,0
