meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1263,9963,1,1,1,11,MEDIUM,3
1263,9963,1,63,1,12,MEDIUM,3
1263,9963,1,6,1,12,MEDIUM,0
1263,9963,1,12,1,13,MEDIUM,6
1263,9963,1,43,1,13,MEDIUM,5
1263,9963,1,44,1,14,MEDIUM,0
1263,9963,1,14,1,14,MEDIUM,4
1263,9963,1,81,1,15,MEDIUM,0
1263,9963,1,87,1,17,MEDIUM,0
1263,9963,1,27,1,18,MEDIUM,0
1263,9963,1,23,1,22,MEDIUM,4
1263,9963,1,18,1,23,HARD,1
1263,9963,1,16,1,27,HARD,0
1263,9963,1,4,1,28,HARD,0
1263,9963,2,1,12,36,HARD,0
1263,9963,2,12,14,37,HARD,1
1263,9963,1,30,1,37,HARD,1
1263,9963,2,63,13,41,HARD,1
1263,9963,2,81,16,44,HARD,0
1263,9963,2,44,15,44,HARD,0
1263,9963,2,23,23,46,HARD,0
1263,9963,2,4,29,46,MEDIUM,0
1263,9963,1,5,1,48,HARD,0
1263,9963,2,14,15,49,HARD,1
1263,9963,2,18,24,50,HARD,1
1263,9963,2,16,28,52,HARD,0
1263,9963,1,10,1,52,HARD,0
1263,9963,2,30,38,53,MEDIUM,0
1263,9963,1,22,1,55,HARD,0
1263,9963,1,31,1,56,HARD,0
1263,9963,1,55,1,56,HARD,0
1263,9963,3,4,47,66,HARD,0
1263,9963,3,14,50,65,HARD,1
1263,9963,3,63,42,66,HARD,0
1263,9963,2,27,19,65,HARD,0
1263,9963,3,1,37,66,HARD,0
1263,9963,3,12,38,66,HARD,0
1263,9963,2,55,57,65,MEDIUM,0
1263,9963,2,31,57,65,MEDIUM,0
1263,9963,3,81,45,66,HARD,0
1263,9963,3,16,53,66,MEDIUM,0
1263,9963,2,87,18,65,HARD,0
1263,9963,2,22,56,65,MEDIUM,0
1263,9963,2,10,53,65,MEDIUM,0
1263,9963,2,43,14,65,HARD,0
1263,9963,2,5,49,65,MEDIUM,0
1263,9963,3,18,51,65,MEDIUM,0
1263,9963,2,6,13,65,HARD,1
1263,9963,3,44,45,66,HARD,0
1263,9963,3,27,66,66,HARD,47
1263,9963,4,14,66,66,HARD,17
1263,9963,4,1,67,67,HARD,0
1263,9963,4,63,67,67,HARD,25
1263,9963,4,12,67,67,HARD,29
1263,9963,4,81,67,67,SOFT,0
1263,9963,3,55,66,66,MEDIUM,9
1263,9963,3,31,66,66,MEDIUM,9
1263,9963,4,16,67,67,MEDIUM,14
1263,9963,3,22,66,66,MEDIUM,10
1263,9963,3,87,66,66,SOFT,0
1263,9963,3,5,66,66,MEDIUM,0
1263,9963,3,43,66,66,HARD,52
1263,9963,3,10,66,66,MEDIUM,13
1263,9963,3,6,66,66,SOFT,3
1263,9963,4,18,66,66,SOFT,0
1263,9963,4,44,67,67,HARD,22
1263,9963,4,27,67,67,HARD,0
1263,9963,5,14,67,67,HARD,18
1263,9963,5,1,68,68,HARD,0
1263,9963,4,31,67,67,MEDIUM,10
1263,9963,4,55,67,67,MEDIUM,10
1263,9963,5,12,68,68,HARD,30
1263,9963,5,63,68,68,HARD,26
1263,9963,5,16,68,68,MEDIUM,15
1263,9963,5,81,68,68,SOFT,0
1263,9963,4,87,67,67,SOFT,1
1263,9963,4,43,67,67,HARD,53
1263,9963,4,5,67,67,MEDIUM,0
1263,9963,4,22,67,67,MEDIUM,0
1263,9963,4,6,67,67,SOFT,0
1263,9963,4,10,67,67,MEDIUM,14
1263,9963,5,44,68,68,HARD,0
1263,9963,5,18,67,67,SOFT,1
1263,9963,5,27,68,68,HARD,0
1263,9963,6,14,68,68,HARD,19
1263,9963,6,63,69,70,HARD,27
1263,9963,6,1,69,70,HARD,32
1263,9963,6,12,69,70,HARD,31
1263,9963,5,31,68,69,MEDIUM,11
1263,9963,5,55,68,69,MEDIUM,0
1263,9963,6,81,69,70,SOFT,5
1263,9963,6,16,69,70,MEDIUM,16
1263,9963,5,87,68,69,SOFT,2
1263,9963,5,22,68,69,MEDIUM,12
1263,9963,5,43,68,69,HARD,54
1263,9963,5,5,68,69,MEDIUM,0
1263,9963,5,10,68,69,MEDIUM,15
1263,9963,5,6,68,69,SOFT,0
1263,9963,6,18,68,69,SOFT,2
1263,9963,6,44,69,70,HARD,24
1263,9963,7,14,69,70,HARD,20
1263,9963,6,27,69,70,HARD,0
