meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1267,9920,1,43,1,19,SOFT,0
1267,9920,1,14,1,18,MEDIUM,0
1267,9920,1,27,1,19,SOFT,0
1267,9920,1,18,1,8,MEDIUM,0
1267,9920,1,5,1,22,MEDIUM,0
1267,9920,1,30,1,23,MEDIUM,0
1267,9920,1,55,1,23,MEDIUM,0
1267,9920,1,6,1,23,MEDIUM,0
1267,9920,1,12,1,23,MEDIUM,0
1267,9920,1,23,1,23,MEDIUM,0
1267,9920,1,63,1,23,MEDIUM,0
1267,9920,1,10,1,23,MEDIUM,0
1267,9920,1,81,1,23,MEDIUM,0
1267,9920,1,87,1,53,HARD,0
1267,9920,1,4,1,23,MEDIUM,0
1267,9920,1,31,1,52,HARD,0
1267,9920,1,44,1,22,MEDIUM,0
1267,9920,1,16,1,22,MEDIUM,0
1267,9920,1,1,1,23,SOFT,0
1267,9920,1,22,1,19,SOFT,0
1267,9920,2,18,9,52,HARD,0
1267,9920,2,14,19,40,HARD,0
1267,9920,2,43,20,53,HARD,0
1267,9920,2,22,20,53,HARD,0
1267,9920,2,27,20,53,HARD,0
1267,9920,2,16,23,52,HARD,1
1267,9920,2,5,23,60,HARD,0
1267,9920,2,81,24,53,HARD,0
1267,9920,2,4,24,53,HARD,0
1267,9920,2,6,24,53,HARD,0
1267,9920,2,1,24,53,MEDIUM,0
1267,9920,2,63,24,53,HARD,0
1267,9920,2,30,24,27,HARD,0
1267,9920,2,55,24,27,HARD,0
1267,9920,2,12,24,51,HARD,0
1267,9920,2,23,24,53,HARD,0
1267,9920,2,10,24,72,HARD,0
1267,9920,3,30,28,52,SOFT,3
1267,9920,3,55,28,51,SOFT,3
1267,9920,3,14,41,72,HARD,0
1267,9920,3,12,52,53,SOFT,0
1267,9920,3,16,53,53,SOFT,3
1267,9920,3,18,53,72,HARD,0
1267,9920,4,55,52,65,SOFT,3
1267,9920,2,31,53,72,MEDIUM,0
1267,9920,3,81,54,72,HARD,0
1267,9920,3,4,54,64,HARD,1
1267,9920,3,1,54,72,SOFT,0
1267,9920,3,6,54,72,SOFT,2
1267,9920,3,23,54,72,SOFT,0
1267,9920,3,63,54,72,SOFT,3
1267,9920,4,30,53,72,SOFT,3
1267,9920,4,12,54,72,SOFT,0
1267,9920,3,22,54,72,SOFT,3
1267,9920,2,87,54,72,MEDIUM,0
1267,9920,3,43,54,65,MEDIUM,0
1267,9920,3,27,54,72,MEDIUM,0
1267,9920,3,5,61,72,SOFT,0
1267,9920,4,43,66,72,SOFT,0
1267,9920,5,55,66,72,SOFT,3
