meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1265,9939,1,44,1,1,INTERMEDIATE,0
1265,9939,1,14,1,1,INTERMEDIATE,0
1265,9939,1,4,1,1,INTERMEDIATE,0
1265,9939,1,55,1,1,INTERMEDIATE,0
1265,9939,1,30,1,1,INTERMEDIATE,0
1265,9939,1,10,1,1,INTERMEDIATE,0
1265,9939,1,81,1,1,INTERMEDIATE,0
1265,9939,1,5,1,1,INTERMEDIATE,0
1265,9939,1,31,1,1,INTERMEDIATE,0
1265,9939,1,6,1,1,INTERMEDIATE,0
1265,9939,1,1,1,1,INTERMEDIATE,0
1265,9939,1,27,1,1,INTERMEDIATE,0
1265,9939,1,16,1,1,INTERMEDIATE,0
1265,9939,1,22,1,1,INTERMEDIATE,0
1265,9939,1,23,1,1,INTERMEDIATE,0
1265,9939,1,63,1,1,INTERMEDIATE,0
1265,9939,1,12,1,1,INTERMEDIATE,0
1265,9939,1,18,1,1,INTERMEDIATE,0
1265,9939,1,43,1,1,INTERMEDIATE,0
1265,9939,1,87,1,1,INTERMEDIATE,0
1265,9939,2,1,2,12,MEDIUM,0
1265,9939,2,87,2,12,MEDIUM,0
1265,9939,2,4,2,13,HARD,0
1265,9939,2,5,2,12,MEDIUM,0
1265,9939,2,6,2,13,MEDIUM,0
1265,9939,2,10,2,11,MEDIUM,0
1265,9939,2,12,2,12,MEDIUM,0
1265,9939,2,14,2,11,MEDIUM,0
1265,9939,2,18,2,12,MEDIUM,0
1265,9939,2,22,2,13,MEDIUM,0
1265,9939,2,23,2,12,MEDIUM,0
1265,9939,2,27,2,11,MEDIUM,0
1265,9939,2,30,2,12,MEDIUM,0
1265,9939,2,31,2,13,MEDIUM,0
1265,9939,2,43,2,12,MEDIUM,0
1265,9939,2,55,2,12,MEDIUM,0
1265,9939,2,63,2,12,MEDIUM,0
1265,9939,2,81,2,12,MEDIUM,0
1265,9939,2,16,2,12,MEDIUM,0
1265,9939,2,44,2,11,MEDIUM,0
1265,9939,3,81,13,44,MEDIUM,0
1265,9939,3,4,14,44,HARD,0
1265,9939,3,6,14,43,HARD,3
1265,9939,3,16,13,44,MEDIUM,0
1265,9939,3,1,13,44,MEDIUM,0
1265,9939,3,63,13,44,MEDIUM,0
1265,9939,3,23,13,44,MEDIUM,0
1265,9939,3,44,12,44,MEDIUM,0
1265,9939,3,30,13,44,MEDIUM,0
1265,9939,3,5,13,44,MEDIUM,0
1265,9939,3,10,12,44,MEDIUM,0
1265,9939,3,87,13,44,MEDIUM,0
1265,9939,3,27,12,44,MEDIUM,0
1265,9939,3,22,14,44,MEDIUM,0
1265,9939,3,18,13,44,MEDIUM,0
1265,9939,3,31,14,44,MEDIUM,7
1265,9939,3,12,13,44,MEDIUM,0
1265,9939,3,14,12,44,MEDIUM,0
1265,9939,3,55,13,44,HARD,0
1265,9939,3,43,13,44,MEDIUM,0
