meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1266,9928,1,27,1,5,SOFT,0
1266,9928,1,43,1,13,MEDIUM,0
1266,9928,1,31,1,14,MEDIUM,0
1266,9928,1,23,1,14,SOFT,0
1266,9928,1,55,1,15,SOFT,0
1266,9928,1,1,1,17,MEDIUM,0
1266,9928,1,81,1,18,MEDIUM,0
1266,9928,1,16,1,19,MEDIUM,0
1266,9928,1,63,1,19,MEDIUM,0
1266,9928,1,22,1,20,MEDIUM,0
1266,9928,1,12,1,21,MEDIUM,0
1266,9928,1,87,1,30,MEDIUM,0
1266,9928,1,4,1,31,MEDIUM,0
1266,9928,1,10,1,32,HARD,0
1266,9928,1,6,1,33,MEDIUM,0
1266,9928,2,43,14,35,HARD,0
1266,9928,1,18,1,36,MEDIUM,1
1266,9928,2,22,21,37,SOFT,0
1266,9928,2,23,15,38,MEDIUM,0
1266,9928,1,14,1,39,MEDIUM,1
1266,9928,2,16,20,40,HARD,0
1266,9928,1,5,1,40,MEDIUM,0
1266,9928,1,30,1,40,MEDIUM,0
1266,9928,2,27,6,41,MEDIUM,0
1266,9928,1,44,1,42,HARD,0
1266,9928,2,63,20,43,HARD,0
1266,9928,2,81,19,45,HARD,1
1266,9928,2,1,18,48,HARD,0
1266,9928,2,87,31,48,HARD,0
1266,9928,2,55,16,51,HARD,0
1266,9928,2,4,32,70,HARD,0
1266,9928,3,81,46,70,HARD,0
1266,9928,2,12,22,69,HARD,0
1266,9928,2,6,34,69,HARD,0
1266,9928,2,44,43,69,MEDIUM,0
1266,9928,3,63,44,70,HARD,0
1266,9928,3,27,42,69,MEDIUM,0
1266,9928,3,55,52,69,MEDIUM,0
1266,9928,3,16,41,70,HARD,0
1266,9928,3,23,39,69,HARD,0
1266,9928,2,31,15,69,HARD,0
1266,9928,2,10,33,69,MEDIUM,0
1266,9928,3,22,38,69,HARD,0
1266,9928,3,43,36,69,HARD,0
1266,9928,2,14,40,70,HARD,1
1266,9928,2,5,41,70,HARD,0
1266,9928,2,18,37,70,HARD,1
1266,9928,2,30,41,70,HARD,0
1266,9928,3,1,49,70,HARD,0
